time,voltage,soc
0.0,3.7248133577666533,0.5
1.0,3.7218888225089155,0.4999552256021544
2.0,3.721581020010345,0.49990097805087763
3.0,3.7212703377051692,0.49984600269121016
4.0,3.7209648074261716,0.4997910261548617
5.0,3.7206625042723864,0.49973605114369585
6.0,3.7184617707668597,0.4996790633401127
7.0,3.71812924858148,0.4996174155277363
8.0,3.7177910439229493,0.4995544523748475
9.0,3.7174619425460853,0.49949195808627583
10.0,3.7171386763506904,0.49943003947123077
11.0,3.7083522599839114,0.4993718605132025
12.0,3.7079516438759343,0.4992953241387996
13.0,3.707449838259732,0.49920009844086655
14.0,3.706968798049109,0.49910766961678216
15.0,3.6992566184882807,0.4989954798049791
16.0,3.6984587832114575,0.4988721341790101
17.0,3.697823293056688,0.49874904094367245
18.0,3.6971944443281006,0.4986259421056539
19.0,3.6965939333870756,0.498506502399443
20.0,3.6959963330577836,0.4983862736562972
21.0,3.687432950680527,0.49825421631213024
22.0,3.6866979975760907,0.4981077283994773
23.0,3.6859218617149225,0.4979527593549846
24.0,3.6851829352628913,0.4978032864532229
25.0,3.684403292936708,0.4976451210125456
26.0,3.6738849525910244,0.49746162691344875
27.0,3.672928731304176,0.4972698931986537
28.0,3.671992318298618,0.497079267593635
29.0,3.671059653431439,0.49688864315893666
30.0,3.6665339024075374,0.4966980152064238
31.0,3.6654070986999874,0.4965022601453275
32.0,3.664432298755091,0.4962995964085199
33.0,3.663447876634707,0.49609354753045853
34.0,3.6624738572073423,0.4958870091177026
35.0,3.661521306982149,0.4956822488489132
36.0,3.6613355525504176,0.49548090647485293
37.0,3.660449038972292,0.49528399381838617
38.0,3.659601089650993,0.49509189477447907
39.0,3.6587973337572475,0.4949043653101994
40.0,3.658030016726214,0.49472053346471667
41.0,3.6622194564832014,0.4945388993493021
42.0,3.661481082290965,0.49435733514732877
43.0,3.6607307207352733,0.49417203231498014
44.0,3.6599671483893,0.4939836028523878
45.0,3.6666785420193473,0.4938003488444318
46.0,3.666154791402594,0.4936271354427824
47.0,3.6655534103806287,0.4934649454000631
48.0,3.6650046521131054,0.49331087906985016
49.0,3.66446927355795,0.4931583438078268
50.0,3.6639536979554936,0.49300817581554673
51.0,3.6658602081850695,0.4928618474463418
52.0,3.6654129841221867,0.49271735266786976
53.0,3.6649738210946667,0.4925732979406887
54.0,3.6645360030807375,0.49242890221825697
55.0,3.664100146057396,0.49228399694693314
56.0,3.66389264907087,0.49213905266940755
57.0,3.6634702729829876,0.4919954915606265
58.0,3.66301487955586,0.491852625044909
59.0,3.6625601291236163,0.491709208266314
60.0,3.660209476700646,0.49156437074075343
61.0,3.659697599449415,0.491417616355992
62.0,3.659222928857283,0.49126882337164746
63.0,3.65873926915401,0.4911182444191903
64.0,3.658261404928854,0.49096650650194384
65.0,3.657812133887369,0.49081461099508444
66.0,3.6554695864806153,0.4906613866593605
67.0,3.6550012855608567,0.49050494686511165
68.0,3.6545281547013775,0.49034667497782913
69.0,3.6540531477108504,0.4901876800991723
70.0,3.653584853999571,0.4900287762688009
71.0,3.653650016564272,0.48987048246437553
72.0,3.6531807136999137,0.4897130226015574
73.0,3.652721172754883,0.4895563255340084
74.0,3.652268415410705,0.48940002505339114
75.0,3.6549143062731333,0.48924346889821013
76.0,3.6545317557550367,0.48908690266930843
77.0,3.654108932228341,0.4889323465931878
78.0,3.653718569022765,0.48878143602535523
79.0,3.653359194499937,0.48863517424685804
80.0,3.6530311788034617,0.48849393246428385
81.0,3.6533029370400167,0.4883574498097605
82.0,3.6530295894879448,0.48822483334095595
83.0,3.6527714137994085,0.48809455804107854
