time,voltage,soc
0.0,3.7248133577666533,0.5
1.0,3.721908149087608,0.4999552256021544
2.0,3.7216237301956596,0.49990097805087763
3.0,3.7213367063411624,0.49984600269121016
4.0,3.721054795623153,0.4997910261548617
5.0,3.7207760720385763,0.49973605114369585
6.0,3.7185997479156674,0.4996790633401127
7.0,3.718293605935751,0.4996174155277363
8.0,3.7179823053102647,0.4995544523748475
9.0,3.7176798603373347,0.49949195808627583
10.0,3.717382957510671,0.49943003947123077
11.0,3.708621246436199,0.4993718605132025
12.0,3.7082532191745483,0.4992953241387996
13.0,3.7077920164770624,0.49920009844086655
14.0,3.707350302344344,0.49910766961678216
15.0,3.699685914498357,0.4989954798049791
16.0,3.698940605709729,0.4988721341790101
17.0,3.6983574451971206,0.49874904094367245
18.0,3.697780841349607,0.4986259421056539
19.0,3.6972309085727435,0.498506502399443
20.0,3.696684141855663,0.4983862736562972
21.0,3.6881766139788024,0.49825421631213024
22.0,3.687503653935834,0.4981077283994773
23.0,3.6867930704565017,0.4979527593549846
24.0,3.686117211249629,0.4978032864532229
25.0,3.6854042833026885,0.4976451210125456
26.0,3.67496348161995,0.49746162691344875
27.0,3.674088225070235,0.4972698931986537
28.0,3.6732321628590885,0.497079267593635
29.0,3.672379714474452,0.49688864315893666
30.0,3.667934047868638,0.4966980152064238
31.0,3.6668894077824277,0.4965022601453275
32.0,3.6659996168529587,0.4962995964085199
33.0,3.665101525432101,0.49609354753045853
34.0,3.66421390666435,0.4958870091177026
35.0,3.6633468473208275,0.4956822488489132
36.0,3.6632449662407724,0.49548090647485293
37.0,3.662440272718257,0.49528399381838617
38.0,3.661671926376409,0.49509189477447907
39.0,3.660945664591843,0.4949043653101994
40.0,3.6602541129915824,0.49472053346471667
41.0,3.6645182416787843,0.4945388993493021
42.0,3.6638544040800274,0.49435733514732877
43.0,3.6631800741541505,0.49417203231498014
44.0,3.6624937573895497,0.4939836028523878
45.0,3.669280045627543,0.4938003488444318
46.0,3.66882673063252,0.4936271354427824
47.0,3.668290907004858,0.4934649454000631
48.0,3.6678040874345794,0.49331087906985016
49.0,3.6673298852279173,0.4931583438078268
50.0,3.666874364256121,0.49300817581554673
51.0,3.668839171560859,0.4928618474463418
52.0,3.6684493558039803,0.49271735266786976
53.0,3.6680673157176553,0.4925732979406887
54.0,3.667686673302471,0.49242890221825697
55.0,3.667308117175794,0.49228399694693314
56.0,3.6671578421925872,0.49213905266940755
57.0,3.6667919954680066,0.4919954915606265
58.0,3.6663927371221705,0.491852625044909
59.0,3.665994265238026,0.491709208266314
60.0,3.6637004106099402,0.49156437074075343
61.0,3.6632460642115126,0.491417616355992
62.0,3.6628297093723963,0.49126882337164746
63.0,3.6624050401958024,0.4911182444191903
64.0,3.661986569175598,0.49096650650194384
65.0,3.6615966599531036,0.49081461099508444
66.0,3.6593139480651455,0.4906613866593605
67.0,3.658906770921615,0.49050494686511165
68.0,3.6584954533232064,0.49034667497782913
69.0,3.6580824691578697,0.4901876800991723
70.0,3.657676055758204,0.4900287762688009
71.0,3.657802731886272,0.48987048246437553
72.0,3.6573944794453888,0.4897130226015574
73.0,3.656995557235323,0.4895563255340084
74.0,3.656603146232007,0.48940002505339114
75.0,3.659309394389055,0.48924346889821013
76.0,3.6589871086818846,0.48908690266930843
77.0,3.65862358574313,0.4889323465931878
78.0,3.658290853177046,0.48878143602535523
79.0,3.657987006955403,0.48863517424685804
80.0,3.6577122581675527,0.48849393246428385
81.0,3.6580351362015264,0.4883574498097605
82.0,3.657811148952625,0.48822483334095595
83.0,3.657601235025576,0.48809455804107854
84.0,3.6573939830347593,0.4879644668188769
85.0,3.657173368439319,0.48783177050863974
86.0,3.6560530036073424,0.48769304787019613
87.0,3.6557687058590997,0.4875480765297964
88.0,3.6554893673111994,0.48740329062605353
89.0,3.6552098046780155,0.4872581653063823
90.0,3.6538155744015097,0.48711209625487173
91.0,3.653496419537177,0.48696475945209017
92.0,3.6531927334692957,0.48681611117508466
93.0,3.6528836715449917,0.4866663879973814
94.0,3.65257637818307,0.4865161067889853
95.0,3.652267526301654,0.486365390218601
96.0,3.6505824385775925,0.4862094767046856
97.0,3.650231350494197,0.48605006085117325
98.0,3.649890295760904,0.48589003804175585
99.0,3.6495654495119068,0.48573158259109395
100.0,3.6492584864202193,0.48557614774481667
101.0,3.6483296611306026,0.48542446567952163
102.0,3.6480675448120263,0.4852765475027752
103.0,3.647825789598427,0.48513168325311223
104.0,3.647592790888292,0.48498844190003604
105.0,3.647354014564952,0.48484467134401865
106.0,3.6460920465814617,0.4846974984165006
107.0,3.645801235538946,0.48454332887989104
108.0,3.645471280460184,0.48438200552030714
109.0,3.645143487737838,0.48422037202894214
110.0,3.644818406055454,0.48405878025407884
111.0,3.6445954133569565,0.4838972807786008
112.0,3.644290449647607,0.4837358948475081
113.0,3.6439905349900674,0.48357461436791793
114.0,3.643692471373126,0.48341340190906407
115.0,3.6433969878853807,0.4832522262864065
116.0,3.6442800088932477,0.48309215727419846
117.0,3.643988591983844,0.48293346488363625
118.0,3.6436891600726122,0.4827758305453281
119.0,3.643396086209787,0.48261898883872
120.0,3.643106741029392,0.48246272749209596
121.0,3.6441719294001476,0.48230688738257765
