t,i,v,soc,T
1360.0,-1.2,3.894,0.77,26.1
1370.0,-1.2,3.894,0.77,26.1
1380.0,-1.2,3.894,0.77,26.1
1390.0,-1.2,3.894,0.77,26.1
1400.0,-1.2,3.894,0.77,26.1
1410.0,-1.1,3.894,0.77,26.1
1420.0,-1.2,3.894,0.77,26.1
1430.0,-1.2,3.894,0.77,26.1
1440.0,-1.2,3.894,0.77,26.1
1450.0,-1.2,3.894,0.77,26.1
1460.0,-1.2,3.894,0.77,26.1
1470.0,-1.2,3.894,0.77,26.1
1480.0,-1.1,3.894,0.77,26.1
1490.0,-1.1,3.894,0.77,26.1
1500.0,-1.1,3.894,0.77,26.1
1510.0,-1.1,3.894,0.77,26.1
1520.0,-1.0,3.894,0.77,26.1
1530.0,-1.0,3.894,0.77,26.1
1540.0,-1.1,3.893,0.77,26.1
1550.0,-1.2,3.894,0.77,26.1
1560.0,-1.2,3.893,0.77,26.1
1570.0,-1.2,3.893,0.77,26.1
1580.0,-1.1,3.894,0.77,26.1
1590.0,-1.1,3.894,0.77,26.1
1600.0,-1.2,3.893,0.77,26.1
1610.0,-1.3,3.894,0.77,26.1
1620.0,-1.3,3.894,0.77,26.1
1630.0,-1.1,3.893,0.77,26.1
1640.0,-1.2,3.893,0.77,26.1
1650.0,-1.3,3.893,0.77,26.1
1660.0,-1.3,3.893,0.77,26.1
1670.0,-1.3,3.893,0.77,26.1
1680.0,-1.3,3.893,0.77,26.1
1690.0,-1.3,3.893,0.77,26.1
1700.0,-1.4,3.893,0.77,26.1
1710.0,-1.4,3.893,0.77,26.1
1720.0,-1.1,3.893,0.77,26.1
1730.0,-1.2,3.893,0.77,26.1
1740.0,-1.2,3.893,0.77,26.1
1750.0,-1.4,3.893,0.77,26.1
1760.0,-1.4,3.893,0.77,26.1
1770.0,-1.4,3.893,0.77,26.1
1780.0,-1.2,3.893,0.77,26.1
1790.0,-1.2,3.893,0.77,26.1
1800.0,-1.2,3.893,0.77,26.1
1810.0,-1.2,3.893,0.77,26.1
1820.0,-1.2,3.893,0.77,26.1
1830.0,-1.1,3.893,0.77,26.1
1840.0,-1.1,3.893,0.77,26.1
1850.0,-1.0,3.893,0.77,26.1
1860.0,-1.3,3.893,0.77,26.1
1870.0,-1.3,3.893,0.77,26.1
1880.0,-1.4,3.893,0.77,26.1
1890.0,-1.1,3.893,0.77,26.1
1900.0,-1.1,3.893,0.77,26.1
1910.0,-1.2,3.893,0.77,26.1
1920.0,-1.5,3.893,0.769,26.1
1930.0,-1.5,3.893,0.769,26.1
1940.0,-1.4,3.892,0.769,26.1
1950.0,-1.0,3.893,0.769,26.1
1960.0,-1.0,3.893,0.769,26.1
1970.0,-1.4,3.893,0.769,26.1
1980.0,-1.4,3.892,0.769,26.1
1990.0,-1.4,3.892,0.769,26.1
2000.0,-1.1,3.892,0.769,26.1
2010.0,-1.1,3.892,0.769,26.1
2020.0,-1.2,3.893,0.769,26.1
2030.0,-1.3,3.892,0.769,26.1
2040.0,-1.3,3.892,0.769,26.1
2050.0,-1.3,3.892,0.769,26.1
2060.0,-1.4,3.892,0.769,26.1
2070.0,-1.3,3.892,0.769,26.1
2080.0,-1.3,3.892,0.769,26.1
2090.0,-1.1,3.892,0.769,26.1
2100.0,-1.4,3.892,0.769,26.1
2110.0,-1.0,3.892,0.769,26.1
2120.0,-1.0,3.892,0.769,26.1
2130.0,-1.1,3.892,0.769,26.1
2140.0,-1.1,3.892,0.769,26.1
2150.0,-1.2,3.892,0.769,26.1
2160.0,-1.2,3.892,0.769,26.1
2170.0,-1.1,3.892,0.769,26.1
2180.0,-1.1,3.892,0.769,26.1
2190.0,-0.9,3.892,0.769,26.1
2200.0,-0.9,3.892,0.769,26.1
2210.0,-1.1,3.892,0.769,26.1
2220.0,-1.2,3.892,0.769,26.1
2230.0,-1.2,3.892,0.769,26.1
2240.0,-1.2,3.892,0.769,26.1
2250.0,-1.0,3.892,0.769,26.1
2260.0,-1.2,3.892,0.769,26.1
2270.0,-1.2,3.892,0.769,26.1
2280.0,-1.2,3.892,0.769,26.1
2290.0,-1.2,3.892,0.769,26.1
2300.0,-1.2,3.892,0.769,26.1
2310.0,-1.2,3.892,0.769,26.1
2320.0,-1.2,3.892,0.769,26.1
2330.0,-1.2,3.892,0.769,26.1
2340.0,-1.2,3.892,0.769,26.1
2350.0,-1.2,3.892,0.769,26.1
2360.0,-1.2,3.892,0.769,26.1
2370.0,-1.2,3.892,0.769,26.1
2380.0,-1.2,3.892,0.769,26.1
2390.0,-1.1,3.892,0.769,26.1
2400.0,-1.1,3.892,0.769,26.1
2410.0,-1.3,3.892,0.769,26.1
2420.0,-1.3,3.892,0.769,26.1
2430.0,-1.1,3.892,0.769,26.1
2440.0,-1.1,3.892,0.769,26.1
2450.0,-1.2,3.892,0.769,26.1
2460.0,-1.2,3.892,0.769,26.1
2470.0,-1.2,3.892,0.769,26.1
2480.0,-1.2,3.892,0.769,26.1
2490.0,-1.2,3.892,0.769,26.1
2500.0,-1.1,3.892,0.769,26.1
2510.0,-1.1,3.892,0.769,26.1
2520.0,-1.2,3.892,0.768,26.1
2530.0,-1.2,3.892,0.768,26.1
2540.0,-1.2,3.892,0.768,26.1
2550.0,-1.2,3.892,0.768,26.1
2560.0,-1.2,3.892,0.768,26.1
2570.0,-1.1,3.892,0.768,26.1
2580.0,-1.2,3.892,0.768,26.1
2590.0,-1.2,3.892,0.768,26.1
2600.0,-1.2,3.891,0.768,26.1
2610.0,-1.2,3.891,0.768,26.1
2620.0,-1.1,3.891,0.768,26.1
2630.0,-1.1,3.891,0.768,26.1
2640.0,-1.1,3.891,0.768,26.1
2650.0,-1.1,3.891,0.768,26.1
2660.0,-1.2,3.891,0.768,26.1
2670.0,-1.2,3.891,0.768,26.1
2680.0,-1.3,3.891,0.768,26.1
2690.0,-1.3,3.891,0.768,26.1
2700.0,-1.5,3.891,0.768,26.1
2710.0,-1.5,3.891,0.768,26.1
2720.0,-1.5,3.891,0.768,26.1
2730.0,-1.5,3.891,0.768,26.1
2740.0,-1.5,3.891,0.768,26.1
2750.0,-1.5,3.891,0.768,26.1
2760.0,-1.7,3.891,0.768,26.1
2770.0,-1.7,3.891,0.768,26.1
2780.0,-1.7,3.891,0.768,26.1
2790.0,-1.6,3.891,0.768,26.1
2800.0,-1.6,3.891,0.768,26.1
2810.0,-1.6,3.891,0.768,26.1
2820.0,-1.5,3.891,0.768,26.1
2830.0,-1.5,3.891,0.768,26.1
2840.0,-1.4,3.891,0.768,26.1
2850.0,-1.4,3.891,0.768,26.1
2860.0,-1.4,3.891,0.768,26.1
2870.0,-1.4,3.891,0.768,26.1
2880.0,-1.4,3.891,0.768,26.1
2890.0,-1.4,3.891,0.768,26.1
2900.0,-1.5,3.891,0.768,26.1
2910.0,-1.4,3.891,0.768,26.0
2920.0,-1.4,3.891,0.768,26.0
2930.0,-1.5,3.891,0.768,26.0
2940.0,-1.4,3.891,0.768,26.0
2950.0,-1.4,3.891,0.768,26.0
2960.0,-1.4,3.891,0.768,26.0
2970.0,-1.3,3.891,0.768,26.0
2980.0,-1.2,3.891,0.768,26.0
2990.0,-1.2,3.891,0.768,26.0
3000.0,-1.2,3.891,0.768,26.0
3010.0,-1.3,3.89,0.768,26.0
3020.0,-1.3,3.89,0.768,26.0
3030.0,-1.2,3.89,0.768,26.0
3040.0,-1.2,3.89,0.768,26.0
3050.0,-1.1,3.89,0.768,26.0
3060.0,-1.1,3.891,0.767,26.0
3070.0,-1.2,3.89,0.767,26.0
3080.0,-1.1,3.89,0.767,26.0
3090.0,-1.1,3.89,0.767,26.0
3100.0,-1.1,3.89,0.767,26.0
3110.0,-1.2,3.89,0.767,26.0
3120.0,-1.2,3.89,0.767,26.0
3130.0,-1.2,3.89,0.767,26.0
3140.0,-1.2,3.89,0.767,26.0
3150.0,-1.2,3.89,0.767,26.0
3160.0,-1.2,3.89,0.767,26.0
3170.0,-1.1,3.89,0.767,26.0
3180.0,-1.2,3.89,0.767,26.0
3190.0,-1.2,3.89,0.767,26.0
3200.0,-1.2,3.89,0.767,26.0
3210.0,-1.2,3.89,0.767,26.0
3220.0,-1.2,3.89,0.767,26.0
3230.0,-1.2,3.89,0.767,26.0
3240.0,-1.2,3.89,0.767,26.0
3250.0,-1.2,3.89,0.767,26.0
3260.0,-1.2,3.89,0.767,26.0
3270.0,-1.2,3.89,0.767,26.0
3280.0,-1.2,3.89,0.767,26.0
3290.0,-1.1,3.89,0.767,26.0
3300.0,-1.1,3.89,0.767,26.0
3310.0,-1.1,3.89,0.767,26.0
3320.0,-1.2,3.89,0.767,26.0
3330.0,-1.1,3.89,0.767,26.0
3340.0,-1.1,3.89,0.767,26.0
3350.0,-1.2,3.89,0.767,26.0
3360.0,-1.1,3.89,0.767,26.0
3370.0,-1.1,3.89,0.767,26.0
3380.0,-1.1,3.89,0.767,26.0
3390.0,-1.1,3.89,0.767,26.0
3400.0,-1.1,3.89,0.767,26.0
3410.0,-1.2,3.89,0.767,26.0
3420.0,-1.2,3.89,0.767,26.0
3430.0,-1.2,3.89,0.767,26.0
3440.0,-1.2,3.89,0.767,26.0
3450.0,-1.2,3.89,0.767,26.0
3460.0,-1.2,3.89,0.767,26.0
3470.0,-1.1,3.89,0.767,26.0
3480.0,-1.2,3.89,0.767,26.0
3490.0,-1.2,3.89,0.767,26.0
3500.0,-1.1,3.89,0.767,26.0
3510.0,-1.2,3.89,0.767,26.0
3520.0,-1.2,3.89,0.767,26.0
3530.0,-1.1,3.89,0.767,26.0
3540.0,-1.1,3.89,0.767,26.0
3550.0,-1.1,3.89,0.767,26.0
3560.0,-1.2,3.89,0.767,26.0
3570.0,-1.2,3.89,0.767,26.0
3580.0,-1.2,3.89,0.767,26.0
3590.0,-1.2,3.89,0.767,26.0
3600.0,-1.2,3.89,0.767,26.0
3610.0,-1.2,3.889,0.767,26.0
3620.0,-1.1,3.89,0.767,26.0
3630.0,-1.1,3.89,0.767,26.0
3640.0,-1.1,3.89,0.767,26.0
3650.0,-1.1,3.89,0.767,26.0
3660.0,-1.1,3.889,0.767,26.0
3670.0,-1.2,3.889,0.767,26.0
3680.0,-1.1,3.89,0.767,26.0
3690.0,-1.1,3.89,0.767,26.0
3700.0,-1.1,3.89,0.767,26.0
3710.0,-1.2,3.889,0.7659999999999999,26.0
3720.0,-1.2,3.889,0.7659999999999999,26.0
3730.0,-1.2,3.889,0.7659999999999999,26.0
3740.0,-1.2,3.889,0.7659999999999999,26.0
3750.0,-1.2,3.889,0.7659999999999999,26.0
3760.0,-1.2,3.889,0.7659999999999999,26.0
3770.0,-1.2,3.889,0.7659999999999999,26.0
3780.0,-1.2,3.889,0.7659999999999999,26.0
3790.0,-1.2,3.889,0.7659999999999999,26.0
3800.0,-1.2,3.889,0.7659999999999999,26.0
3810.0,-1.2,3.889,0.7659999999999999,26.0
3820.0,-1.2,3.889,0.7659999999999999,26.0
3830.0,-1.1,3.889,0.7659999999999999,26.0
3840.0,-1.2,3.889,0.7659999999999999,26.0
3850.0,-1.2,3.889,0.7659999999999999,26.0
3860.0,-1.2,3.889,0.7659999999999999,26.0
3870.0,-1.2,3.889,0.7659999999999999,26.0
3880.0,-1.2,3.889,0.7659999999999999,26.0
3890.0,-1.2,3.889,0.7659999999999999,26.0
3900.0,-1.1,3.889,0.7659999999999999,26.0
3910.0,-1.1,3.889,0.7659999999999999,26.0
3920.0,-1.2,3.889,0.7659999999999999,26.0
3930.0,-1.2,3.889,0.7659999999999999,26.0
3940.0,-1.4,3.889,0.7659999999999999,26.0
3950.0,-1.2,3.889,0.7659999999999999,26.0
3960.0,-1.2,3.889,0.7659999999999999,26.0
3970.0,-1.2,3.889,0.7659999999999999,26.0
3980.0,-1.3,3.889,0.7659999999999999,26.0
3990.0,-1.3,3.889,0.7659999999999999,26.0
4000.0,-1.3,3.889,0.7659999999999999,26.0
4010.0,-1.1,3.889,0.7659999999999999,26.0
4020.0,-1.3,3.889,0.7659999999999999,26.0
4030.0,-1.2,3.889,0.7659999999999999,26.0
4040.0,-1.1,3.889,0.7659999999999999,26.0
4050.0,-1.1,3.889,0.7659999999999999,26.0
4060.0,-1.1,3.889,0.7659999999999999,26.0
4070.0,-1.2,3.889,0.7659999999999999,26.0
4080.0,-1.2,3.889,0.7659999999999999,26.0
4090.0,-1.2,3.889,0.7659999999999999,26.0
4100.0,-1.3,3.889,0.7659999999999999,26.0
4110.0,-1.0,3.889,0.7659999999999999,26.0
4120.0,-1.0,3.889,0.7659999999999999,26.0
4130.0,-1.0,3.889,0.7659999999999999,26.0
4140.0,-1.1,3.889,0.7659999999999999,26.0
4150.0,-1.1,3.889,0.7659999999999999,26.0
4160.0,-1.0,3.889,0.7659999999999999,26.0
4170.0,-1.0,3.889,0.7659999999999999,26.0
4180.0,-1.3,3.889,0.7659999999999999,26.0
4190.0,-1.4,3.889,0.7659999999999999,26.0
4200.0,-1.4,3.889,0.7659999999999999,26.0
4210.0,-1.2,3.889,0.7659999999999999,26.0
4220.0,-1.2,3.889,0.7659999999999999,26.0
4230.0,-1.4,3.889,0.7659999999999999,26.0
4240.0,-1.4,3.889,0.7659999999999999,26.0
4250.0,-1.3,3.889,0.7659999999999999,26.0
4260.0,-1.2,3.888,0.7659999999999999,26.0
4270.0,-1.4,3.889,0.7659999999999999,26.0
4280.0,-1.1,3.888,0.7659999999999999,26.0
4290.0,-0.9,3.889,0.765,26.0
4300.0,-1.2,3.889,0.765,26.0
4310.0,-1.2,3.889,0.765,26.0
4320.0,-1.2,3.888,0.765,26.0
4330.0,-1.2,3.888,0.765,26.0
4340.0,-1.2,3.888,0.765,26.0
4350.0,-1.1,3.888,0.765,26.0
4360.0,-1.2,3.888,0.765,26.0
4370.0,-1.2,3.888,0.765,26.0
4380.0,-1.2,3.888,0.765,26.0
4390.0,-1.2,3.888,0.765,26.0
4400.0,-1.2,3.888,0.765,26.0
4410.0,-1.2,3.888,0.765,26.0
4420.0,-1.2,3.888,0.765,26.0
4430.0,-1.1,3.888,0.765,26.0
4440.0,-1.2,3.888,0.765,26.0
4450.0,-1.2,3.888,0.765,26.0
4460.0,-1.2,3.888,0.765,26.0
4470.0,-1.2,3.888,0.765,26.0
4480.0,-1.2,3.888,0.765,26.0
4490.0,-1.2,3.888,0.765,26.0
4500.0,-1.2,3.888,0.765,26.0
4510.0,-1.1,3.888,0.765,26.0
4520.0,-1.1,3.888,0.765,26.0
4530.0,-1.2,3.888,0.765,26.0
4540.0,-1.2,3.888,0.765,26.0
4550.0,-1.2,3.888,0.765,26.0
4560.0,-1.2,3.888,0.765,26.0
4570.0,-1.2,3.888,0.765,26.0
4580.0,-1.2,3.888,0.765,26.0
4590.0,-1.2,3.888,0.765,26.0
4600.0,-1.2,3.888,0.765,26.0
4610.0,-1.2,3.888,0.765,26.0
4620.0,-1.1,3.888,0.765,26.0
4630.0,-1.1,3.888,0.765,26.0
4640.0,-1.1,3.888,0.765,26.0
4650.0,-1.2,3.888,0.765,26.0
4660.0,-1.2,3.888,0.765,26.0
4670.0,-1.2,3.888,0.765,26.0
4680.0,-1.2,3.888,0.765,26.0
4690.0,-1.2,3.888,0.765,26.0
4700.0,-1.2,3.888,0.765,26.0
4710.0,-1.2,3.888,0.765,26.0
4720.0,-1.1,3.888,0.765,26.0
4730.0,-1.2,3.888,0.765,26.0
4740.0,-1.2,3.888,0.765,26.0
4750.0,-1.1,3.888,0.765,26.0
4760.0,-1.2,3.888,0.765,26.0
4770.0,-1.2,3.888,0.765,26.0
4780.0,-1.3,3.888,0.765,26.0
4790.0,-1.5,3.887,0.765,26.0
4800.0,-1.5,3.887,0.765,26.0
4810.0,-1.5,3.887,0.765,26.0
4820.0,-1.5,3.887,0.765,26.0
4830.0,-1.5,3.887,0.765,26.0
4840.0,-1.7,3.887,0.765,26.0
4850.0,-1.6,3.887,0.765,26.0
4860.0,-1.6,3.887,0.765,26.0
4870.0,-1.6,3.887,0.765,26.0
4880.0,-1.4,3.887,0.764,26.0
4890.0,-1.4,3.887,0.764,26.0
4900.0,-1.5,3.887,0.764,25.9
4910.0,-1.5,3.887,0.764,25.9
4920.0,-1.3,3.887,0.764,25.9
4930.0,-1.3,3.887,0.764,25.9
4940.0,-1.4,3.887,0.764,25.9
4950.0,-1.3,3.887,0.764,25.9
4960.0,-1.3,3.887,0.764,25.9
4970.0,-1.3,3.887,0.764,25.9
4980.0,-1.4,3.887,0.764,25.9
4990.0,-1.4,3.887,0.764,25.9
5000.0,-1.4,3.887,0.764,25.9
5010.0,-1.4,3.887,0.764,25.9
5020.0,-1.4,3.887,0.764,25.9
5030.0,-1.4,3.887,0.764,25.9
5040.0,-1.4,3.887,0.764,25.9
5050.0,-1.4,3.887,0.764,25.9
5060.0,-1.4,3.887,0.764,25.9
5070.0,-1.3,3.887,0.764,25.9
5080.0,-1.3,3.887,0.764,25.9
5090.0,-1.2,3.887,0.764,25.9
5100.0,-1.2,3.887,0.764,25.9
5110.0,-1.2,3.887,0.764,25.9
5120.0,-1.2,3.887,0.764,25.9
5130.0,-1.1,3.887,0.764,25.9
5140.0,-1.2,3.887,0.764,25.9
5150.0,-1.2,3.887,0.764,25.9
5160.0,-1.2,3.887,0.764,25.9
5170.0,-1.2,3.887,0.764,25.9
5180.0,-1.2,3.887,0.764,25.9
5190.0,-1.2,3.887,0.764,25.9
5200.0,-1.1,3.887,0.764,25.9
5210.0,-1.1,3.887,0.764,25.9
5220.0,-1.2,3.887,0.764,25.9
5230.0,-1.2,3.887,0.764,25.9
5240.0,-1.2,3.887,0.764,25.9
5250.0,-1.2,3.887,0.764,25.9
5260.0,-1.2,3.887,0.764,25.9
5270.0,-1.2,3.887,0.764,25.9
5280.0,-1.2,3.887,0.764,25.9
5290.0,-1.2,3.887,0.764,25.9
5300.0,-1.2,3.887,0.764,25.9
5310.0,-1.2,3.887,0.764,25.9
5320.0,-1.2,3.887,0.764,25.9
5330.0,-1.2,3.887,0.764,25.9
5340.0,-1.2,3.887,0.764,25.9
5350.0,-1.2,3.887,0.764,25.9
5360.0,-1.1,3.886,0.764,25.8
5370.0,-1.1,3.886,0.764,25.8
5380.0,-1.2,3.886,0.764,25.8
5390.0,-1.2,3.887,0.764,25.8
5400.0,-1.1,3.886,0.764,25.8
5410.0,-1.1,3.886,0.764,25.8
5420.0,-1.1,3.886,0.764,25.8
5430.0,-1.1,3.886,0.764,25.8
5440.0,-1.2,3.886,0.763,25.8
5450.0,-1.2,3.886,0.763,25.8
5460.0,-1.2,3.886,0.763,25.8
5470.0,-1.2,3.886,0.763,25.8
5480.0,-1.2,3.886,0.763,25.8
5490.0,-1.2,3.886,0.763,25.8
5500.0,-1.2,3.886,0.763,25.8
5510.0,-1.2,3.886,0.763,25.8
5520.0,-1.2,3.886,0.763,25.8
5530.0,-1.2,3.886,0.763,25.8
5540.0,-1.2,3.886,0.763,25.8
5550.0,-1.2,3.886,0.763,25.8
5560.0,-1.2,3.886,0.763,25.8
5570.0,-1.2,3.886,0.763,25.8
5580.0,-1.2,3.886,0.763,25.8
5590.0,-1.1,3.886,0.763,25.8
5600.0,-1.2,3.886,0.763,25.8
5610.0,-1.2,3.886,0.763,25.8
5620.0,-1.2,3.886,0.763,25.8
5630.0,-1.2,3.886,0.763,25.8
5640.0,-1.2,3.886,0.763,25.8
5650.0,-1.2,3.886,0.763,25.8
5660.0,-1.1,3.886,0.763,25.8
5670.0,-1.1,3.886,0.763,25.8
5680.0,-1.1,3.886,0.763,25.8
5690.0,-1.1,3.886,0.763,25.8
5700.0,-1.2,3.886,0.763,25.8
5710.0,-1.2,3.886,0.763,25.8
5720.0,-1.2,3.886,0.763,25.8
5730.0,-1.2,3.886,0.763,25.8
5740.0,-1.2,3.886,0.763,25.8
5750.0,-1.2,3.886,0.763,25.8
5760.0,-1.2,3.886,0.763,25.8
5770.0,-1.2,3.886,0.763,25.8
5780.0,-1.2,3.886,0.763,25.8
5790.0,-1.2,3.886,0.763,25.8
5800.0,-1.2,3.886,0.763,25.8
5810.0,-1.1,3.886,0.763,25.8
5820.0,-1.1,3.886,0.763,25.8
5830.0,-1.1,3.886,0.763,25.8
5840.0,-1.2,3.886,0.763,25.8
5850.0,-1.1,3.886,0.763,25.8
5860.0,-1.1,3.886,0.763,25.8
5870.0,-1.2,3.886,0.763,25.8
5880.0,-1.2,3.886,0.763,25.8
5890.0,-1.2,3.886,0.763,25.8
5900.0,-1.1,3.886,0.763,25.8
5910.0,-1.1,3.886,0.763,25.8
5920.0,-1.2,3.886,0.763,25.8
5930.0,-1.2,3.886,0.763,25.8
5940.0,-1.2,3.886,0.763,25.8
5950.0,-1.2,3.886,0.763,25.8
5960.0,-1.2,3.886,0.763,25.8
5970.0,-1.2,3.886,0.763,25.8
5980.0,-1.2,3.886,0.763,25.8
5990.0,-1.2,3.886,0.763,25.8
6000.0,-1.2,3.886,0.763,25.8
6010.0,-1.1,3.886,0.763,25.8
6020.0,-1.2,3.886,0.763,25.8
6030.0,-1.2,3.886,0.763,25.8
6040.0,-1.2,3.886,0.763,25.8
6050.0,-1.2,3.886,0.763,25.8
6060.0,-1.2,3.886,0.763,25.8
6070.0,-1.2,3.885,0.762,25.8
6080.0,-1.1,3.885,0.762,25.8
6090.0,-1.1,3.885,0.762,25.8
6100.0,-1.1,3.885,0.762,25.8
6110.0,-1.1,3.885,0.762,25.8
6120.0,-0.9,3.885,0.762,25.8
