soc,ocv
0.0,2.503357781011795
0.001,2.571734373071367
0.002,2.6047602143505824
0.003,2.632184715363865
0.004,2.655961403586628
0.005,2.6764278358055766
0.006,2.6937452062461182
0.007,2.7085680322621783
0.008,2.721326264902605
0.009,2.7327291853805846
0.01,2.7429490761308415
0.011,2.7587417744408915
0.012,2.7825426021559325
0.013,2.8051039117941556
0.014,2.8265015371587543
0.015,2.846698530239258
0.016,2.865927499062326
0.017,2.884288286881444
0.018,2.901795964675993
0.019,2.918441943536915
0.02,2.9342374721005724
0.021,2.9494316427671814
0.022,2.963999784308724
0.023,2.9778873472415
0.024,2.9911263454563697
0.025,3.0036996038303716
0.026,3.0157886440541226
0.027,3.027335465703244
0.028,3.038379825715757
0.029,3.048947435145827
0.03,3.0591336175282415
0.031,3.0689361421380887
0.032,3.0780856956798863
0.033,3.0871580787289674
0.034,3.0958736523157637
0.035,3.1041527950174888
0.036,3.1122723383951048
0.037,3.120139045718454
0.038,3.127662818081273
0.039,3.1350764015565025
0.04,3.1422237814750993
0.041,3.149084906508742
0.042,3.155847965191875
0.043,3.162376613949345
0.044,3.1686590571270172
0.045,3.174908424178102
0.046,3.1808395957570514
0.047,3.186646493540575
0.048,3.1923302620870313
0.049,3.197844223742786
0.05,3.2031115439106084
0.051,3.2083516939323418
0.052,3.2134011433281193
0.053,3.2182271162383405
0.054,3.223166110746625
0.055,3.2278331608614432
0.056,3.2323977760190736
0.057,3.2368013725232903
0.058,3.241176815312942
0.059,3.245383005809305
0.06,3.249410535299293
0.061,3.2535832331714998
0.062,3.257401836355744
0.063,3.26131692159717
0.064,3.265011551950302
0.065,3.268650617555663
0.066,3.272269795875295
0.067,3.27570477675323
0.068,3.27897327428877
0.069,3.2821737989895423
0.07,3.285335276329755
0.071,3.2882810091163446
0.072,3.2911242886642245
0.073,3.2938561552948302
0.074,3.296586751082535
0.075,3.2990621841189327
0.076,3.301735731054145
0.077,3.3041665268130354
0.078,3.3065986565828904
0.079,3.3088177381436146
0.08,3.3111851184317684
0.081,3.313368611730745
0.082,3.315561695792725
0.083,3.317659428373755
0.084,3.3197571609547802
0.085,3.32195024501676
0.086,3.3238666284229224
0.087,3.3259550072169
0.088,3.32795738831697
0.089,3.329821679143306
0.09,3.3317640735245115
0.091,3.333678477174315
0.092,3.335490155312475
0.093,3.337377258765642
0.094,3.33920886306975
0.095,3.341020541207905
0.096,3.3428024154953992
0.097,3.344643897484225
0.098,3.346360448134911
0.099,3.3481054151813163
0.1,3.349792877455835
0.101,3.35150920411304
0.102,3.3532633074225684
0.103,3.3549418574274448
0.104,3.3565628326036903
0.105,3.358183807779935
0.106,3.359769060295279
0.107,3.36152110961339
0.108,3.36304673330868
0.109,3.3645723570039703
0.11,3.366288683661175
0.111,3.3678871256799194
0.112,3.36933993105176
0.113,3.370952668626844
0.114,3.3724865299233002
0.115,3.373988271473407
0.116,3.375442425832925
0.117,3.37696804952822
0.118,3.3785890247044703
0.119,3.3800192969188
0.12,3.381544920614095
0.121,3.383070544309385
0.122,3.38450081652372
0.123,3.385931088738055
0.124,3.38745671243335
0.125,3.388886984647685
0.126,3.39031725686202
0.127,3.39184288055731
0.128,3.393082449809735
0.129,3.3946282555260607
0.13,3.396053513094122
0.131,3.397373266452745
0.132,3.3988988901480353
0.133,3.4001419124243193
0.134,3.401568731614795
0.135,3.4029990038291302
0.136,3.4043870679592882
0.137,3.405586781678622
0.138,3.40709911751023
0.139,3.408529389724565
0.14,3.409677845796359
0.141,3.41110387971037
0.142,3.4124388004437503
0.143,3.41377372117713
0.144,3.415063958270892
0.145,3.41644356264389
0.146,3.417632199757014
0.147,3.419032039103686
0.148,3.420352973363075
0.149,3.421592542615505
0.15,3.422859799616811
0.151,3.4241905393852576
0.152,3.42540660185373
0.153,3.426682136120296
0.154,3.42788574035858
0.155,3.4292206610919598
0.156,3.4303674676060467
0.157,3.431698206250153
0.158,3.432844017368275
0.159,3.434083586620705
0.16,3.43532315587313
0.161,3.436467373644595
0.162,3.43770694289702
0.163,3.4388511606684897
0.164,3.4400907299209154
0.165,3.4412349476923847
0.166,3.44237916546385
0.167,3.443578830583697
0.168,3.444715338805975
0.169,3.445886378464982
0.17,3.44714673951164
0.171,3.4482909572831097
0.172,3.44942947301177
0.173,3.450484041345085
0.174,3.4517236105975098
0.175,3.4527724768880246
0.176,3.453916694659495
0.177,3.454965560950005
0.178,3.456109778721475
0.179,3.45715864501199
0.18,3.458207511302505
0.181,3.45925637759301
0.182,3.46040059536448
0.183,3.4614943041404356
0.184,3.462593679426465
0.185,3.463737897197935
0.186,3.464609881773039
0.187,3.465803891701425
0.188,3.4668844960694702
0.189,3.46783801087903
0.19,3.468886877169545
0.191,3.469935743460055
0.192,3.470889258269615
0.193,3.4720334760410854
0.194,3.473082342331595
0.195,3.47403585714115
0.196,3.475028440709208
0.197,3.476038238241225
0.198,3.4770093471651364
0.199,3.47813597082225
0.2,3.479089485631805
0.201,3.480048045262998
0.202,3.48109186673188
0.203,3.482045381541435
0.204,3.483006980567973
0.205,3.48395241116055
0.206,3.4850012774510652
0.207,3.48595479226062
0.208,3.486908307070175
0.209,3.48795717336069
0.21,3.48881533668929
0.211,3.489763023956665
0.212,3.490722366308405
0.213,3.4916307321022475
0.214,3.49262939592752
0.215,3.493487559256125
0.216,3.49453642554664
0.217,3.495394588875235
0.218,3.496377391488229
0.219,3.49739696997531
0.22,3.49815978182295
0.221,3.499017945151555
0.222,3.500021820520028
0.223,3.50092497477067
0.224,3.501852583667234
0.225,3.502832004389785
0.226,3.503691608156892
0.227,3.504548331046985
0.228,3.505478836015957
0.229,3.506360009185145
0.23,3.5072926133942017
0.231,3.508171687323305
0.232,3.509095920458904
0.233,3.5100452561537394
0.234,3.5107461773091098
0.235,3.5116996921186647
0.236,3.5126071955835805
0.237,3.51341601877587
0.238,3.514269748556797
0.239,3.515132345433075
0.24,3.5159905087616803
0.241,3.516848672090275
0.242,3.51770683541888
0.243,3.51856499874748
0.244,3.519355775573519
0.245,3.52018597392373
0.246,3.5211394887332848
0.247,3.52190230058093
0.248,3.522761321051266
0.249,3.5236198056687353
0.25,3.524476790566735
0.251,3.5252530079778377
0.252,3.5261626808346467
0.253,3.526955929071585
0.254,3.52771874091923
0.255,3.5285467678991322
0.256,3.52933971609548
0.257,3.53019787942408
0.258,3.530960691271725
0.259,3.5317235031193697
0.26,3.5326259643923352
0.261,3.533490039877063
0.262,3.53420264162422
0.263,3.534965453471865
0.264,3.5358236168004646
0.265,3.536586428648115
0.266,3.5373684395260576
0.267,3.538112052343405
0.268,3.53887486419105
0.269,3.539644326262014
0.27,3.5405313438720656
0.271,3.541330729624119
