timestamp_utc,MEAS1,MEAS3
2025-12-10T14:00:14.739+00:00,0.3551009028307245,3.5846506361421
2025-12-10T14:00:15.740+00:00,0.37228357407687,3.5263196242072
2025-12-10T14:00:16.741+00:00,0.3670561311449174,3.5073251680588
2025-12-10T14:00:17.742+00:00,0.3591008497806756,3.4948057786666
2025-12-10T14:00:18.744+00:00,0.4317570341555879,3.4710686567492
2025-12-10T14:00:19.745+00:00,0.8976205805963938,3.6010681676706
2025-12-10T14:00:20.746+00:00,1.3133227694083,3.7394189620869
2025-12-10T14:00:21.747+00:00,1.7365261217209,3.91812360745
2025-12-10T14:00:22.748+00:00,2.1560802161143,4.1773333524457
2025-12-10T14:00:23.749+00:00,2.6085285193229,4.5017168348513
2025-12-10T14:00:24.750+00:00,3.0569576580662,4.8659455786294
2025-12-10T14:00:25.751+00:00,3.4858168449036,5.1992168390874
2025-12-10T14:00:26.752+00:00,3.9192787479231,5.5837060960963
2025-12-10T14:00:27.753+00:00,4.3622610848088,5.9637088381586
2025-12-10T14:00:28.754+00:00,4.7598018303415,6.3271682669415
2025-12-10T14:00:29.755+00:00,5.21380049354,6.7627307027725
2025-12-10T14:00:30.756+00:00,5.69279982174,7.2263048100447
2025-12-10T14:00:31.757+00:00,6.0965588072468,7.6273933310154
2025-12-10T14:00:32.758+00:00,6.4881718255375,8.0685788570234
2025-12-10T14:00:33.759+00:00,6.9469756650806,8.4853379388192
2025-12-10T14:00:34.760+00:00,7.3634916357934,8.9288460948849
2025-12-10T14:00:35.761+00:00,7.8235066275552,9.4099857923017
2025-12-10T14:00:36.762+00:00,8.2337261532309,9.85034203927
2025-12-10T14:00:37.763+00:00,8.656234161237,10.3038657668707
2025-12-10T14:00:38.764+00:00,9.0956877790505,10.7770139982171
2025-12-10T14:00:39.765+00:00,9.5720667989033,11.2795198855723
2025-12-10T14:00:40.766+00:00,9.9772291655329,11.7351696348802
2025-12-10T14:00:41.768+00:00,10.4075906660721,12.1980023603734
2025-12-10T14:00:42.769+00:00,10.8392267113808,12.6509729590425
2025-12-10T14:00:43.770+00:00,11.2866990031086,13.1709631775394
