_time,dr_ch_p1_m1,dr_ch_p1_m2,dr_ch_p1_m3,dr_ch_p1_m4,dr_ch_p1_m5,dr_ch_p1_m6,dr_ch_p1_m7,dr_ch_p1_m8,dr_ch_p1_m9,dr_ch_p2_m1,dr_ch_p2_m2,dr_ch_p2_m3,dr_ch_p2_m4,dr_ch_p2_m5,dr_ch_p2_m6,dr_ch_p2_m7,dr_ch_p2_m8,dr_ch_p2_m9,dr_ch_p3_m1,dr_ch_p3_m2,dr_ch_p3_m3,dr_ch_p3_m4,dr_ch_p3_m5,dr_ch_p3_m6,dr_ch_p3_m7,dr_ch_p3_m8,dr_ch_p3_m9,dr_dch_p1_m1,dr_dch_p1_m2,dr_dch_p1_m3,dr_dch_p1_m4,dr_dch_p1_m5,dr_dch_p1_m6,dr_dch_p1_m7,dr_dch_p1_m8,dr_dch_p1_m9,dr_dch_p2_m1,dr_dch_p2_m2,dr_dch_p2_m3,dr_dch_p2_m4,dr_dch_p2_m5,dr_dch_p2_m6,dr_dch_p2_m7,dr_dch_p2_m8,dr_dch_p2_m9,dr_dch_p3_m1,dr_dch_p3_m2,dr_dch_p3_m3,dr_dch_p3_m4,dr_dch_p3_m5,dr_dch_p3_m6,dr_dch_p3_m7,dr_dch_p3_m8,dr_dch_p3_m9
2025-12-10 13:57:10+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:57:20+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:57:30+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:57:40+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:57:50+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:58:00+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:58:10+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:58:20+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:58:30+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
2025-12-10 13:58:40+00:00,97.2118911743164,102.0,55.83357238769531,74.42378997802734,61.23248291015625,102.0,85.81926727294922,52.2362060546875,52.2362060546875,52.2362060546875,68.4272232055664,82.2219009399414,69.0277328491211,71.42693328857422,48.638832092285156,64.22933959960938,85.81926727294922,76.22247314453125,52.2362060546875,55.83357238769531,53.43437194824219,61.23248291015625,63.628822326660156,45.038604736328125,45.038604736328125,67.22904968261719,51.03517150878906,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
