soc,ocv
0.0,2.502340690440425
0.001,2.560925318662095
0.002,2.621291410059567
0.003,2.6774528606801358
0.004,2.727551406065039
0.005,2.770877499409862
0.006,2.808146698438867
0.007,2.840696070262917
0.008,2.8689224150519346
0.009,2.8940187475630825
0.01,2.9164081925051537
0.011,2.937056741231081
0.012,2.9562085946448375
0.013,2.9742055268694276
0.014,2.991058413089826
0.015,3.0070532023208187
0.016,3.021969655243745
0.017,3.0362780389858273
0.018,3.0498725599956735
0.019,3.0628261859829027
0.02,3.0751100503036053
0.021,3.086910019848244
0.022,3.098328579459377
0.023,3.1091751373444394
0.024,3.11965527765427
0.025,3.129724224768415
0.026,3.1394870928787744
0.027,3.148938537598039
0.028,3.1580533561037214
0.029,3.167002794426253
0.03,3.175424464381453
0.031,3.18375762914505
0.032,3.1918986565160075
0.033,3.19970673102584
0.034,3.20727104686655
0.035,3.214736648397995
0.036,3.22195312353542
0.037,3.229008147389295
0.038,3.2359165972490103
0.039,3.242482625829486
0.04,3.2491196630891332
0.041,3.25541681776122
0.042,3.26151846001322
0.043,3.267490966953361
0.044,3.273487616740365
0.045,3.279346695968275
0.046,3.285004227806943
0.047,3.2905012607102098
0.048,3.2959355358408953
0.049,3.3011827560967832
0.05,3.306321363687606
0.051,3.311343715801473
0.052,3.31614722580064
0.053,3.320974480632584
0.054,3.3255277787509856
0.055,3.32997125902782
0.056,3.3342102578864528
0.057,3.338287409080171
0.058,3.3420792053716246
0.059,3.3457020554587498
0.06,3.3489069455602705
0.061,3.3520407685710154
0.062,3.35475918067656
0.063,3.3571426346812503
0.064,3.35933541236556
0.065,3.36124217556931
0.066,3.363083782019807
0.067,3.364674349336055
0.068,3.3661598066253253
0.069,3.3675775440321436
0.07,3.36886922838431
0.071,3.3702039626269302
0.072,3.3715109556436373
0.073,3.372645360150317
0.074,3.37382681271405
0.075,3.3749708706363
0.076,3.37606288409477
0.077,3.3771080329952907
0.078,3.378212368082675
0.079,3.37926108784474
0.08,3.3803098076067997
0.081,3.38144423570217
0.082,3.38231190897074
0.083,3.3833606287327997
0.084,3.3843622591177343
0.085,3.38536273009674
0.086,3.3862485549392223
0.087,3.38726949330049
0.088,3.3883176107994735
0.089,3.38908091834405
0.09,3.390034299945925
0.091,3.3909876815478
0.092,3.391941063149675
0.093,3.3928944447515503
0.094,3.393847826353425
0.095,3.39470586979511
0.096,3.395659251396985
0.097,3.39651729483867
0.098,3.3974706764405447
0.099,3.3984216720213367
0.1,3.3992700605617046
0.101,3.400213786934404
0.102,3.401188864687855
0.103,3.4020469081295452
0.104,3.4030002897314198
0.105,3.40385833317311
0.106,3.404716376614795
0.107,3.40566975821667
0.108,3.406527801658355
0.109,3.4075765214204203
0.11,3.408434564862105
0.111,3.4093896200817735
0.112,3.4102459899056647
0.113,3.4112524973085065
0.114,3.412152753109415
0.115,3.41310613471129
0.116,3.414059516313165
0.117,3.414955065718948
0.118,3.4159711319343833
0.119,3.416914858772729
0.12,3.417968380880855
0.121,3.418921762482725
0.122,3.41997048224479
0.123,3.4210192020068497
0.124,3.4220679217689103
0.125,3.42311664153097
0.126,3.424237747920299
0.127,3.425309419215285
0.128,3.426453477137535
0.129,3.427597535059785
0.13,3.428741592982035
0.131,3.4299266268902358
0.132,3.431153701392252
0.133,3.432459781229345
0.134,3.433699177311785
0.135,3.43493857339422
0.136,3.436273307636845
0.137,3.43751270371928
0.138,3.438754533525004
0.139,3.44018217220453
0.14,3.44142156828697
0.141,3.44275630252959
0.142,3.44409103677222
0.143,3.4454257710148397
0.144,3.4466651670972803
0.145,3.447999901339905
0.146,3.4493346355825247
0.147,3.4505740316649653
0.148,3.451908765907585
0.149,3.4531481619900246
0.15,3.45448289623265
0.151,3.455750021910283
0.152,3.4569616883975254
0.153,3.4583447238194376
0.154,3.459579110489053
0.155,3.46087055296521
0.156,3.462109232875498
0.157,3.4633493451300854
0.158,3.4646840793727103
0.159,3.465837761532817
0.16,3.467067533377395
0.161,3.46840226762002
0.162,3.4696030762819436
0.163,3.470881059784895
0.164,3.472120455867335
0.165,3.4734303521911887
0.166,3.474694586192395
0.167,3.47602932043502
0.168,3.477234661715863
0.169,3.47850811259989
0.17,3.479822363956216
0.171,3.480986904764765
0.172,3.48232163900739
0.173,3.4835115906678475
0.174,3.484800431172265
0.175,3.48606641466991
0.176,3.48727922333714
0.177,3.488613957579765
0.178,3.489758015502015
0.179,3.49099741158445
0.18,3.49223680766689
0.181,3.493377138521292
0.182,3.4945659114779613
0.183,3.4956852816968516
0.184,3.496793473748225
0.185,3.498052435438325
0.186,3.4990215495770873
0.187,3.5001559533139
0.188,3.5012939328846953
0.189,3.5023426526467603
0.19,3.503296034248635
0.191,3.504407553845581
0.192,3.505393473772755
0.193,3.5064811430636205
0.194,3.50758625145707
0.195,3.5085396330589402
0.196,3.509507543341724
0.197,3.5105417344228798
0.198,3.511495116024755
0.199,3.512543835786815
0.2,3.513497217388695
0.201,3.514545937150755
0.202,3.5154993187526298
0.203,3.5165480385146903
0.204,3.5175340551357808
0.205,3.51855013987863
0.206,3.519598859640695
0.207,3.52064757940275
0.208,3.52150562284444
0.209,3.522538706876423
0.21,3.523603062368565
0.211,3.524556443970435
0.212,3.5256051637325
0.213,3.5266538834945598
0.214,3.5277026032566248
0.215,3.5286559848585
0.216,3.52970470462056
0.217,3.530753424382625
0.218,3.531802144144685
0.219,3.53275552574656
0.22,3.53380424550862
0.221,3.534737207026657
0.222,3.53571100871237
0.223,3.5368550666346197
0.224,3.5377510228773223
0.225,3.538666491678185
0.226,3.539619873280055
0.227,3.540668951620698
0.228,3.5416135859947806
0.229,3.5424800180856852
0.23,3.543433399687555
0.231,3.544386781289435
0.232,3.54524482473112
0.233,3.5461028681728104
0.234,3.546960911614495
0.235,3.5478189550561803
0.236,3.548772336658055
0.237,3.549535041939555
0.238,3.550488423541425
0.239,3.551346466983115
0.24,3.5521091722646148
0.241,3.5529672157062997
0.242,3.55382525914799
0.243,3.554683302589675
0.244,3.5554460078711747
0.245,3.556304051312865
0.246,3.5571193189911527
0.247,3.5579248000360497
0.248,3.5586029623570354
0.249,3.5594502105990546
0.25,3.5603050291702347
0.251,3.560975621162055
0.252,3.56173832644355
0.253,3.5625625914324033
0.254,3.5633590751667352
0.255,3.564121780448235
0.256,3.5647891475695452
0.257,3.565458854854542
0.258,3.5662192199723597
0.259,3.5669819252538604
0.26,3.56774463053536
0.261,3.568470216201695
0.262,3.5691288198432316
0.263,3.569842070059485
0.264,3.570604775340985
0.265,3.571358603357085
0.266,3.5720348477438
0.267,3.5726986706830424
0.268,3.5733695819864204
0.269,3.574036949107735
0.27,3.5747043162290453
0.271,3.575424862620959
0.272,3.57605692108039
0.273,3.57670641759298
0.274,3.5773737847142897
0.275,3.5780411518356052
0.276,3.5787036136964616
0.277,3.57937588607823
0.278,3.5800432531995448
0.279,3.580710620320855
0.28,3.581344273555244
0.281,3.581854678243105
0.282,3.5825643601612125
0.283,3.58328475064592
0.284,3.58385677960704
0.285,3.5844770077976325
0.286,3.58509617568948
0.287,3.585763542810795
0.288,3.586419715167334
0.289,3.58700293889323
0.29,3.587574967854355
0.291,3.588293094543301
0.292,3.5888715553316635
0.293,3.589481731058105
0.294,3.590127302804972
0.295,3.5908043250300192
0.296,3.591293156101665
0.297,3.5918651850627903
0.298,3.5925325521840996
0.299,3.5931337329071087
