soc,ocv
0.354,3.831142
0.355,3.83169
0.356,3.832233
0.357,3.83277
0.358,3.833301
0.359,3.833827
0.36,3.834348
0.361,3.834863
0.362,3.835373
0.363,3.835878
0.364,3.836377
0.365,3.836872
0.366,3.837362
0.367,3.837847
0.368,3.838328
0.369,3.838803
0.37,3.839275
0.371,3.839741
0.372,3.840204
0.373,3.840662
0.374,3.841115
0.375,3.841565
0.376,3.84201
0.377,3.842452
0.378,3.842889
0.379,3.843322
0.38,3.843752
0.381,3.844177
0.382,3.8446
0.383,3.845018
0.384,3.845433
0.385,3.845844
0.386,3.846252
0.387,3.846656
0.388,3.847058
0.389,3.847456
0.39,3.847851
0.391,3.848242
0.392,3.848631
0.393,3.849017
0.394,3.8494
0.395,3.84978
0.396,3.850157
0.397,3.850532
0.398,3.850904
0.399,3.851274
0.4,3.851641
0.401,3.852006
0.402,3.852368
0.403,3.852728
0.404,3.853086
0.405,3.853442
0.406,3.853796
0.407,3.854148
0.408,3.854498
0.409,3.854846
0.41,3.855193
0.411,3.855537
0.412,3.85588
0.413,3.856222
0.414,3.856562
0.415,3.856901
0.416,3.857238
0.417,3.857574
0.418,3.857909
0.419,3.858243
0.42,3.858576
0.421,3.858907
0.422,3.859238
0.423,3.859568
0.424,3.859897
0.425,3.860225
0.426,3.860552
0.427,3.860878
0.428,3.861203
0.429,3.861527
0.43,3.86185
0.431,3.862172
0.432,3.862494
0.433,3.862814
0.434,3.863133
0.435,3.86345
0.436,3.863767
0.437,3.864083
0.438,3.864398
0.439,3.864711
0.44,3.865024
0.441,3.865335
0.442,3.865646
0.443,3.865955
0.444,3.866263
0.445,3.866569
0.446,3.866875
0.447,3.867179
0.448,3.867483
0.449,3.867785
0.45,3.868085
0.451,3.868385
0.452,3.868683
0.453,3.868981
0.454,3.869276
0.455,3.869571
0.456,3.869864
0.457,3.870156
0.458,3.870447
0.459,3.870736
0.46,3.871024
0.461,3.871311
0.462,3.871596
0.463,3.87188
0.464,3.872163
0.465,3.872444
0.466,3.872724
0.467,3.873003
0.468,3.87328
0.469,3.873555
0.47,3.873829
0.471,3.874102
0.472,3.874374
0.473,3.874643
0.474,3.874912
0.475,3.875179
0.476,3.875444
0.477,3.875709
0.478,3.875972
0.479,3.876234
0.48,3.876495
0.481,3.876756
0.482,3.877016
0.483,3.877275
0.484,3.877534
0.485,3.877793
0.486,3.878052
0.487,3.87831
0.488,3.878569
0.489,3.878827
0.49,3.879086
0.491,3.879345
0.492,3.879605
0.493,3.879866
0.494,3.880127
0.495,3.880389
0.496,3.880651
0.497,3.880915
0.498,3.88118
0.499,3.881447
0.5,3.881715
0.501,3.881984
0.502,3.882255
0.503,3.882528
0.504,3.882802
0.505,3.883079
0.506,3.883358
0.507,3.883638
0.508,3.883922
0.509,3.884207
0.51,3.884495
0.511,3.884786
0.512,3.88508
0.513,3.885376
0.514,3.885676
0.515,3.885978
0.516,3.886284
0.517,3.886593
0.518,3.886906
0.519,3.887222
0.52,3.887542
0.521,3.887866
0.522,3.888194
0.523,3.888525
0.524,3.888861
0.525,3.889201
0.526,3.889546
0.527,3.889894
0.528,3.890248
0.529,3.890606
0.53,3.890967
0.531,3.891333
0.532,3.891703
0.533,3.892077
0.534,3.892455
0.535,3.892836
0.536,3.89322
0.537,3.893608
0.538,3.893999
0.539,3.894393
0.54,3.89479
0.541,3.89519
0.542,3.895593
0.543,3.895999
0.544,3.896406
0.545,3.896817
0.546,3.897229
0.547,3.897644
0.548,3.89806
0.549,3.898479
0.55,3.898899
0.551,3.899321
0.552,3.899744
0.553,3.900169
0.554,3.900595
0.555,3.901023
0.556,3.901451
0.557,3.90188
0.558,3.90231
0.559,3.902741
0.56,3.903172
0.561,3.903603
0.562,3.904035
0.563,3.904467
0.564,3.904899
0.565,3.905331
0.566,3.905763
0.567,3.906195
0.568,3.906626
0.569,3.907056
0.57,3.907486
0.571,3.907915
0.572,3.908344
0.573,3.908771
0.574,3.909197
0.575,3.909621
0.576,3.910044
0.577,3.910466
0.578,3.910886
0.579,3.911305
0.58,3.911721
0.581,3.912136
0.582,3.912549
0.583,3.912962
0.584,3.913373
0.585,3.913784
0.586,3.914195
0.587,3.914606
0.588,3.915016
0.589,3.915428
0.59,3.91584
0.591,3.916252
0.592,3.916667
0.593,3.917082
0.594,3.9175
0.595,3.917919
0.596,3.918341
0.597,3.918765
0.598,3.919192
0.599,3.919622
0.6,3.920055
0.601,3.920492
0.602,3.920933
0.603,3.921378
0.604,3.921827
0.605,3.922281
0.606,3.92274
0.607,3.923203
0.608,3.923673
0.609,3.924147
0.61,3.924628
0.611,3.925115
0.612,3.925608
0.613,3.926108
0.614,3.926615
0.615,3.927129
0.616,3.927651
0.617,3.92818
0.618,3.928717
0.619,3.929262
0.62,3.929816
0.621,3.930379
0.622,3.930951
0.623,3.931532
0.624,3.932122
0.625,3.932722
0.626,3.933333
0.627,3.933953
0.628,3.934584
0.629,3.935226
0.63,3.935879
0.631,3.936544
0.632,3.93722
0.633,3.937907
0.634,3.938606
0.635,3.939315
0.636,3.940035
0.637,3.940765
0.638,3.941504
0.639,3.942252
0.64,3.943009
0.641,3.943774
0.642,3.944547
0.643,3.945327
0.644,3.946114
0.645,3.946908
0.646,3.947708
0.647,3.948514
0.648,3.949325
0.649,3.95014
0.65,3.950961
0.651,3.951785
0.652,3.952613
0.653,3.953444
0.654,3.954278
0.655,3.955114
0.656,3.955952
0.657,3.956792
0.658,3.957633
0.659,3.958475
0.66,3.959316
0.661,3.960158
0.662,3.960999
0.663,3.961839
0.664,3.962678
0.665,3.963515
0.666,3.96435
0.667,3.965182
0.668,3.966011
0.669,3.966836
0.67,3.967658
0.671,3.968475
0.672,3.969287
0.673,3.970094
0.674,3.970896
0.675,3.971692
0.676,3.972481
0.677,3.973264
0.678,3.974039
0.679,3.974806
0.68,3.975566
0.681,3.976317
0.682,3.977059
0.683,3.977791
0.684,3.978514
0.685,3.979227
0.686,3.979929
0.687,3.980622
0.688,3.981304
0.689,3.981977
0.69,3.982641
0.691,3.983295
0.692,3.983939
0.693,3.984575
0.694,3.985202
0.695,3.98582
0.696,3.986429
0.697,3.98703
0.698,3.987622
0.699,3.988206
0.7,3.988782
0.701,3.989351
0.702,3.989911
0.703,3.990464
0.704,3.991009
0.705,3.991547
0.706,3.992078
0.707,3.992602
0.708,3.99312
0.709,3.99363
0.71,3.994134
0.711,3.994631
0.712,3.995123
0.713,3.995608
0.714,3.996087
0.715,3.99656
0.716,3.997028
0.717,3.997491
0.718,3.997948
0.719,3.998399
0.72,3.998846
0.721,3.999288
0.722,3.999725
0.723,4.000158
0.724,4.000586
0.725,4.001009
0.726,4.001429
0.727,4.001845
0.728,4.002257
0.729,4.002665
0.73,4.003069
0.731,4.003471
0.732,4.003869
0.733,4.004263
0.734,4.004655
0.735,4.005045
0.736,4.005431
0.737,4.005815
0.738,4.006197
0.739,4.006577
0.74,4.006954
0.741,4.007329
0.742,4.007703
0.743,4.008075
0.744,4.008445
0.745,4.008813
0.746,4.00918
0.747,4.009546
0.748,4.009911
0.749,4.010274
0.75,4.010637
0.751,4.010998
0.752,4.011359
0.753,4.011719
0.754,4.012079
0.755,4.012438
0.756,4.012796
0.757,4.013155
0.758,4.013513
0.759,4.013872
0.76,4.014231
0.761,4.014589
0.762,4.014948
0.763,4.015308
0.764,4.015668
0.765,4.016029
0.766,4.016391
0.767,4.016753
0.768,4.017117
0.769,4.017481
0.77,4.017847
0.771,4.018215
0.772,4.018583
0.773,4.018953
0.774,4.019325
0.775,4.019699
0.776,4.020075
0.777,4.020452
0.778,4.020832
0.779,4.021214
0.78,4.021598
0.781,4.021985
0.782,4.022375
0.783,4.022767
0.784,4.023162
0.785,4.023559
0.786,4.02396
0.787,4.024364
0.788,4.024771
0.789,4.025182
0.79,4.025595
0.791,4.026013
0.792,4.026433
0.793,4.026857
0.794,4.027283
0.795,4.027713
0.796,4.028144
0.797,4.028578
0.798,4.029014
0.799,4.029452
0.8,4.029891
0.801,4.030333
0.802,4.030775
0.803,4.031219
0.804,4.031663
0.805,4.032108
0.806,4.032554
0.807,4.033001
0.808,4.033447
0.809,4.033894
0.81,4.03434
0.811,4.034786
0.812,4.035232
0.813,4.035676
0.814,4.03612
0.815,4.036563
0.816,4.037004
0.817,4.037444
0.818,4.037882
0.819,4.038318
0.82,4.038753
0.821,4.039185
0.822,4.039614
0.823,4.040041
0.824,4.040465
0.825,4.040886
0.826,4.041304
0.827,4.041719
0.828,4.04213
0.829,4.042537
0.83,4.04294
0.831,4.043339
0.832,4.043734
0.833,4.044125
0.834,4.04451
0.835,4.044891
0.836,4.045266
0.837,4.045637
0.838,4.046002
0.839,4.046361
0.84,4.046714
0.841,4.047062
0.842,4.047403
0.843,4.047738
0.844,4.048066
0.845,4.048388
0.846,4.048705
0.847,4.049015
0.848,4.049319
0.849,4.049618
0.85,4.049911
0.851,4.050198
0.852,4.050481
0.853,4.050758
0.854,4.051029
0.855,4.051296
0.856,4.051558
0.857,4.051815
0.858,4.052068
0.859,4.052315
0.86,4.052559
0.861,4.052798
0.862,4.053033
0.863,4.053264
0.864,4.053491
0.865,4.053714
0.866,4.053934
0.867,4.054149
0.868,4.054362
0.869,4.054571
0.87,4.054776
0.871,4.054979
0.872,4.055179
0.873,4.055375
0.874,4.055569
0.875,4.055761
0.876,4.055949
0.877,4.056136
0.878,4.05632
0.879,4.056502
0.88,4.056681
0.881,4.056859
0.882,4.057035
0.883,4.05721
0.884,4.057382
0.885,4.057554
0.886,4.057724
0.887,4.057892
0.888,4.05806
0.889,4.058227
0.89,4.058392
0.891,4.058557
0.892,4.058722
0.893,4.058885
0.894,4.059049
0.895,4.059212
0.896,4.059375
0.897,4.059538
0.898,4.0597
0.899,4.059863
0.9,4.060026
0.901,4.060189
0.902,4.060353
0.903,4.060517
0.904,4.060681
0.905,4.060846
0.906,4.061011
0.907,4.061177
0.908,4.061344
0.909,4.061511
0.91,4.06168
0.911,4.061849
0.912,4.062019
0.913,4.062191
0.914,4.062364
0.915,4.062537
0.916,4.062713
0.917,4.06289
0.918,4.063068
0.919,4.063248
0.92,4.063429
0.921,4.063612
0.922,4.063797
0.923,4.063984
0.924,4.064173
0.925,4.064363
0.926,4.064556
0.927,4.064751
0.928,4.064949
0.929,4.065148
0.93,4.06535
0.931,4.065555
0.932,4.065762
0.933,4.065972
0.934,4.066184
0.935,4.066399
0.936,4.066617
0.937,4.066838
0.938,4.067063
0.939,4.06729
0.94,4.06752
0.941,4.067753
0.942,4.06799
0.943,4.06823
0.944,4.068474
0.945,4.068721
0.946,4.068972
0.947,4.069227
0.948,4.069485
0.949,4.069747
0.95,4.070013
0.951,4.070283
0.952,4.070558
0.953,4.070836
0.954,4.071119
0.955,4.071405
0.956,4.071697
0.957,4.071992
0.958,4.072293
0.959,4.072597
0.96,4.072907
0.961,4.073221
0.962,4.07354
0.963,4.073864
0.964,4.074193
0.965,4.074527
0.966,4.074867
0.967,4.075211
0.968,4.075561
0.969,4.075916
0.97,4.076276
0.971,4.076642
0.972,4.077014
0.973,4.077391
0.974,4.077774
0.975,4.078163
0.976,4.078558
0.977,4.078959
0.978,4.079366
0.979,4.079779
0.98,4.080198
0.981,4.080623
0.982,4.081055
0.983,4.081493
0.984,4.081938
0.985,4.082389
0.986,4.082847
0.987,4.083312
0.988,4.083783
0.989,4.084262
0.99,4.084747
0.991,4.085239
0.992,4.085739
0.993,4.086245
0.994,4.086759
0.995,4.087281
0.996,4.087809
0.997,4.088346
0.998,4.088889
0.999,4.089441
1.0,4.09
