soc,ocv
0.0,2.502679059923035
0.001,2.5526863783060545
0.002,2.6038623592163797
0.003,2.6505228622000123
0.004,2.6934640619336894
0.005,2.7327850800458267
0.006,2.768257228527607
0.007,2.7996287015289223
0.008,2.8271090284877642
0.009,2.851572318909163
0.01,2.8734956238807263
0.011,2.893538104629491
0.012,2.912102663656318
0.013,2.929316030559932
0.014,2.945541637277198
0.015,2.960830651158657
0.016,2.975261366777649
0.017,2.989127521092883
0.018,3.0023108470863225
0.019,3.0148733342010274
0.02,3.0269279453934903
0.021,3.0384505797460015
0.022,3.0496388590583514
0.023,3.060254958426665
0.024,3.070584953919094
0.025,3.080544688541882
0.026,3.0901617966568624
0.027,3.0994768969522397
0.028,3.108471774404945
0.029,3.1172896400210988
0.03,3.1257692593832855
0.031,3.1340692745558014
0.032,3.1420471412877164
0.033,3.1498222669821745
0.034,3.157474460638353
0.035,3.1648556873564155
0.036,3.1719653225358604
0.037,3.1790308173238286
0.038,3.1859276499947957
0.039,3.19264907091809
0.04,3.199053760146878
0.041,3.20552342495877
0.042,3.211801950089649
0.043,3.2179209510720197
0.044,3.223875495023758
0.045,3.2296862315435817
0.046,3.2353728532160497
0.047,3.2409364247438464
0.048,3.2464261265834935
0.049,3.251803393292376
0.05,3.2570938290038622
0.051,3.262212364975114
0.052,3.2671295931830704
0.053,3.2720053875295525
0.054,3.276854216491654
0.055,3.28152979659153
0.056,3.2861073446948854
0.057,3.290589527212755
0.058,3.2948809785596502
0.059,3.2990811811423573
0.06,3.3031777844969747
0.061,3.307277913244743
0.062,3.311112033250113
0.063,3.31481238592633
0.064,3.318571673238668
0.065,3.3220601704233097
0.066,3.32558869708631
0.067,3.3290173095328903
0.068,3.332168922484885
0.069,3.3353159868059397
0.07,3.3383445907467966
0.071,3.341236064640852
0.072,3.3439200835888725
0.073,3.346731013756494
0.074,3.34914399670148
0.075,3.351399213260742
0.076,3.3535308136338653
0.077,3.3556288565145653
0.078,3.357440802638815
0.079,3.3591573831775703
0.08,3.3608651768733964
0.081,3.362304447498625
0.082,3.3638302968664098
0.083,3.365209901928196
0.084,3.3665302042489933
0.085,3.3678505064698085
0.086,3.3690754040681696
0.087,3.3704105222649803
0.088,3.3714595437053347
0.089,3.37269929631666
0.09,3.37374831775701
0.091,3.374892704782845
0.092,3.3759417262232
0.093,3.3769907476635552
0.094,3.378009159816217
0.095,3.37899342495877
0.096,3.379954370064369
0.097,3.3809107466821273
0.098,3.381867368263233
0.099,3.382802770200657
0.1,3.3837617042330947
0.101,3.3847153600879647
0.102,3.38547828477185
0.103,3.386527306212205
0.104,3.3872902308961
0.105,3.388243886750965
0.106,3.38910217702034
0.107,3.38996046728972
0.108,3.3907551548308588
0.109,3.391677047828475
0.11,3.392535338097855
0.111,3.393298262781745
0.112,3.39425191863661
0.113,3.395110208905995
0.114,3.39596849917537
0.115,3.39679439170117
0.116,3.3975897141286397
0.117,3.39844800439802
0.118,3.39921092908191
0.119,3.4000692193512903
0.12,3.4009006285681567
0.121,3.4017441041266414
0.122,3.40264409015943
0.123,3.40340701484332
0.124,3.404179159824617
0.125,3.40512359538208
0.126,3.40588652006597
0.127,3.4067448103353497
0.128,3.407603100604725
0.129,3.40846139087411
0.13,3.40941504672897
0.131,3.410178846074279
0.132,3.4111176859502716
0.133,3.41189455195162
0.134,3.4128482078064852
0.135,3.41370649807587
0.136,3.41466015393073
0.137,3.4156138097856
0.138,3.4164721000549747
0.139,3.417330390324355
0.14,3.4182840461792203
0.141,3.41933306761957
0.142,3.42019135788895
0.143,3.421145013743815
0.144,3.42219403518417
0.145,3.42314769103903
0.146,3.424005981308415
0.147,3.4251503683342497
0.148,3.4260767347875074
0.149,3.4269793777842903
0.15,3.42810670148433
0.151,3.429155722924685
0.152,3.43010937877955
0.153,3.431158400219905
0.154,3.43220742166025
0.155,3.433256443100605
0.156,3.4343032673968796
0.157,3.435354485981305
0.158,3.436481180699201
0.159,3.4375478944475
0.16,3.438596915887855
